id,userid,giftscore,gifttype,giftstate,giftdate,paydate
28413144,8364297,10,alipay_package_gift,0,2016-04-21 17:36:09.000,NULL
28413145,8364297,10,alipay_package_gift,0,2016-04-21 17:36:09.000,NULL
28413146,8364297,20,alipay_package_gift,0,2016-04-21 17:36:09.000,NULL
28413147,8364297,20,alipay_package_gift,0,2016-04-21 17:36:09.000,NULL
28413148,8364297,35,alipay_package_gift,0,2016-04-21 17:36:09.000,NULL
32927326,8364297,5,alipay_package_gift,0,2016-05-08 13:31:28.000,NULL
32927327,8364297,5,alipay_package_gift,0,2016-05-08 13:31:28.000,NULL
32927328,8364297,10,alipay_package_gift,0,2016-05-08 13:31:28.000,NULL
32927329,8364297,10,alipay_package_gift,0,2016-05-08 13:31:28.000,NULL
32927330,8364297,20,alipay_package_gift,0,2016-05-08 13:31:28.000,NULL
32927331,8364297,20,alipay_package_gift,0,2016-05-08 13:31:28.000,NULL
32927332,8364297,30,alipay_package_gift,0,2016-05-08 13:31:28.000,NULL
28413143,8364297,5,alipay_package_gift,1,2016-04-21 17:36:09.000,2016-07-07 09:18:10.453
57997234,8364297,5,alipay_super_package_gift,0,2016-07-07 09:17:12.000,NULL
57997235,8364297,10,alipay_super_package_gift,0,2016-07-07 09:17:12.000,NULL
57997236,8364297,15,alipay_super_package_gift,0,2016-07-07 09:17:12.000,NULL
57997238,8364297,20,alipay_super_package_gift,0,2016-07-07 09:17:12.000,NULL
57997240,8364297,50,alipay_super_package_gift,0,2016-07-07 09:17:12.000,NULL
103088349,8364297,10,borrow_story34651,0,2017-07-21 23:42:37.000,NULL
103444244,8364297,10,licai_tongyong_10,0,2017-07-30 18:47:03.000,NULL
101731307,8364297,5,super_618dc_gift_5,0,2017-06-20 10:46:15.000,NULL
8238428,8364297,10,superred12,0,2014-12-19 00:00:00.000,NULL
8238432,8364297,15,superred12,0,2014-12-19 00:00:00.000,NULL
8238433,8364297,25,superred12,0,2014-12-19 00:00:00.000,NULL
103219836,26230390,10,borrow_story34651,0,2017-07-25 14:29:25.000,NULL
103815344,28558257,10,borrow_story34651,0,2017-08-11 02:19:53.000,NULL
82845741,42155699,188,20161212_licai_hongbao_1677,0,2016-12-09 08:40:24.000,NULL
82845740,42155699,188,20161212_licai_hongbao_1858,0,2016-12-09 08:40:24.000,NULL
82845742,42155699,188,20161212_licai_hongbao_1942,0,2016-12-09 08:40:24.000,NULL
101557373,42155699,50,alipay_super_package_gift,0,2017-06-18 01:59:39.000,NULL
101557374,42155699,20,alipay_super_package_gift,0,2017-06-18 01:59:39.000,NULL
101557375,42155699,15,alipay_super_package_gift,0,2017-06-18 01:59:39.000,NULL
101557376,42155699,10,alipay_super_package_gift,0,2017-06-18 01:59:39.000,NULL
101557377,42155699,5,alipay_super_package_gift,0,2017-06-18 01:59:39.000,NULL
102321993,42155699,50,alipay_super_package_gift,0,2017-06-28 20:50:48.000,NULL
102321994,42155699,20,alipay_super_package_gift,0,2017-06-28 20:50:48.000,NULL
102321995,42155699,15,alipay_super_package_gift,0,2017-06-28 20:50:48.000,NULL
102321996,42155699,10,alipay_super_package_gift,0,2017-06-28 20:50:48.000,NULL
102321997,42155699,5,alipay_super_package_gift,0,2017-06-28 20:50:48.000,NULL
103662529,42155699,10,borrow_story34651,0,2017-08-05 03:56:06.000,NULL
62890055,42155699,5,superred,0,2016-07-19 09:40:47.663,NULL
80157672,42209043,168,20161111_licai_hongbao,0,2016-11-11 00:15:40.000,NULL
103545510,42209043,10,borrow_story34651,0,2017-08-01 23:24:36.000,NULL
77981601,42209043,2,mario_gift,0,2016-10-21 00:08:19.000,NULL
89561842,42209043,1,super_newyear_gift,0,2017-01-06 03:10:46.000,NULL
94407132,42209043,5,super_olduser_gift29792,0,2017-03-07 21:45:08.727,NULL
103894628,58444535,10,borrow_story34651,0,2017-08-13 17:05:15.000,NULL
91635268,58444535,2,jiguiren,1,2017-01-26 13:40:45.000,2017-04-15 14:11:46.757
15688996,58444535,0,spring_festival_gift,0,2016-02-17 10:45:27.000,NULL
93405556,58444535,5,super_2017_newyear_gift,0,2017-02-18 00:24:18.000,NULL
93606827,58444535,1,super_2017_newyear_gift,0,2017-02-20 16:59:45.000,NULL
10920904,58444535,5,superred,1,2015-06-16 00:00:00.000,2015-09-07 22:44:17.107
38257158,83412192,5,alipay_super_package_gift,0,2016-06-14 09:22:43.000,NULL
38257159,83412192,10,alipay_super_package_gift,0,2016-06-14 09:22:43.000,NULL
38257160,83412192,15,alipay_super_package_gift,0,2016-06-14 09:22:43.000,NULL
38257161,83412192,20,alipay_super_package_gift,0,2016-06-14 09:22:43.000,NULL
38257162,83412192,50,alipay_super_package_gift,0,2016-06-14 09:22:43.000,NULL
9491425,83412192,5,app_reggift,1,2015-02-01 17:14:32.753,2015-02-20 19:31:42.443
103748251,83412192,10,borrow_story34651,0,2017-08-08 18:12:58.000,NULL
90644000,84022163,50,alipay_super_package_gift,0,2017-01-15 22:05:46.000,NULL
90644001,84022163,20,alipay_super_package_gift,0,2017-01-15 22:05:46.000,NULL
90644002,84022163,15,alipay_super_package_gift,0,2017-01-15 22:05:46.000,NULL
90644003,84022163,10,alipay_super_package_gift,0,2017-01-15 22:05:46.000,NULL
90644004,84022163,5,alipay_super_package_gift,0,2017-01-15 22:05:46.000,NULL
9510694,84022163,5,app_reggift,1,2015-02-11 13:42:30.367,2016-01-29 21:25:52.983
92430645,84022163,2.75,jiguiren,1,2017-02-04 00:09:39.000,2017-03-01 19:41:46.070
95198248,84022163,28,licai_xinshou_story30125,0,2017-03-19 17:29:54.000,NULL
15559338,84022163,0,spring_festival_gift,1,2016-02-17 10:35:21.000,2016-03-15 13:45:43.173
103284990,88680539,10,borrow_story34651,0,2017-07-26 22:03:21.000,NULL
96782598,92900556,50,alipay_super_package_gift,0,2017-04-18 21:06:25.000,NULL
96782599,92900556,30,alipay_super_package_gift,0,2017-04-18 21:06:25.000,NULL
96782600,92900556,20,alipay_super_package_gift,0,2017-04-18 21:06:25.000,NULL
103679395,92900556,10,borrow_story34651,0,2017-08-05 19:09:35.000,NULL
103975503,92900556,5,cfdaka_0629,0,2017-08-17 01:28:08.000,NULL
101571144,92900556,5,super_618dc_gift_5,0,2017-06-18 08:39:39.000,NULL
96782487,92900556,10,super_gift1_25222,0,2017-04-18 21:05:21.000,NULL
96782488,92900556,20,super_gift1_25222,0,2017-04-18 21:05:21.000,NULL
96782489,92900556,20,super_gift1_25222,0,2017-04-18 21:05:21.000,NULL
96782490,92900556,50,super_gift1_25222,0,2017-04-18 21:05:21.000,NULL
96921618,92900556,3,super_hgflr_gift,1,2017-04-20 15:26:36.000,2017-06-11 10:12:18.083
82938185,97497394,188,20161212_licai_hongbao_1677,0,2016-12-09 10:09:04.000,NULL
82938184,97497394,188,20161212_licai_hongbao_1858,0,2016-12-09 10:09:04.000,NULL
82938186,97497394,188,20161212_licai_hongbao_1942,0,2016-12-09 10:09:04.000,NULL
103719859,97497394,10,borrow_story34651,0,2017-08-07 13:19:17.000,NULL
92238548,97497394,20,new_year_2017_licai_niwodai_20_28137,0,2017-02-01 12:10:10.000,2017-04-01 18:06:57.323
14838137,97497394,0,spring_festival_gift,0,2016-02-17 09:38:42.000,NULL
96658420,97497394,6,super_dingdan_hudong_redpacket,0,2017-04-16 17:49:13.000,NULL
84192801,97497394,1,super_double12_gift,0,2016-12-10 20:46:06.000,NULL
84811267,97497394,1,super_double12_gift,0,2016-12-12 01:43:55.000,NULL
102891993,97497394,5,super_wx_share_redbag,0,2017-07-16 21:50:31.000,NULL
93292103,97791786,5,26628_birthday_gift,0,2017-02-14 23:33:49.000,NULL
89688625,97791786,50,alipay_super_package_gift,0,2017-01-07 13:24:25.000,NULL
89688626,97791786,20,alipay_super_package_gift,0,2017-01-07 13:24:25.000,NULL
89688627,97791786,15,alipay_super_package_gift,0,2017-01-07 13:24:25.000,NULL
89688628,97791786,10,alipay_super_package_gift,0,2017-01-07 13:24:25.000,NULL
89688629,97791786,5,alipay_super_package_gift,0,2017-01-07 13:24:25.000,NULL
103757958,97791786,10,borrow_story34651,0,2017-08-09 05:53:13.000,NULL
100511742,97791786,16,licai_16_STORY32361,0,2017-06-04 12:19:36.000,NULL
100511741,97791786,20,licai_20_STORY32361,0,2017-06-04 12:19:36.000,NULL
100511740,97791786,22,licai_22_STORY32361,0,2017-06-04 12:19:36.000,NULL
78088894,97791786,2,mario_gift,1,2016-10-21 00:14:33.000,2016-12-05 16:19:46.427
80989181,97791786,0.5,shop_jd_gift_26146,0,2016-11-25 13:15:50.000,NULL
84553343,97791786,1,super_double12_gift,0,2016-12-11 17:54:49.000,NULL
84717157,97791786,1,super_double12_gift,0,2016-12-11 22:59:43.000,NULL
80350430,97791786,3,super_rain_25656,1,2016-11-11 19:50:12.000,2017-01-07 21:27:58.253
62939572,97791786,5,superred,0,2016-07-19 09:48:57.033,NULL
103158672,98394927,10,borrow_story34651,0,2017-07-23 19:14:13.000,NULL
55164152,98628251,50,alipay_super_package_gift,0,2016-07-02 21:34:47.000,NULL
55164153,98628251,20,alipay_super_package_gift,0,2016-07-02 21:34:47.000,NULL
55164154,98628251,30,alipay_super_package_gift,0,2016-07-02 21:34:47.000,NULL
103483661,105996734,10,borrow_story34651,0,2017-07-31 18:07:06.000,NULL
96878198,105996734,18,licai_18_STORY30997,0,2017-04-20 00:21:05.000,NULL
96878197,105996734,22,licai_22_STORY30997,0,2017-04-20 00:21:05.000,NULL
96878196,105996734,28,licai_28_STORY30997,0,2017-04-20 00:21:05.000,NULL
88600957,105996734,10,lose_user_gift_10,0,2016-12-29 19:07:21.167,NULL
88600932,105996734,15,lose_user_gift_15,0,2016-12-29 19:07:21.167,NULL
88600907,105996734,38,lose_user_gift_38,0,2016-12-29 19:07:21.167,NULL
88600982,105996734,5,lose_user_gift_5,0,2016-12-29 19:07:21.167,NULL
80159231,106785391,168,20161111_licai_hongbao,0,2016-11-11 00:20:13.000,NULL
79758680,106785391,0,20161111_shop_gift,1,2016-11-10 17:01:46.000,2017-03-01 18:36:50.977
18748539,106785391,5,alipay_package_gift,0,2016-03-25 09:56:45.000,NULL
18748540,106785391,5,alipay_package_gift,0,2016-03-25 09:56:45.000,NULL
18748541,106785391,5,alipay_package_gift,0,2016-03-25 09:56:45.000,NULL
18748542,106785391,5,alipay_package_gift,0,2016-03-25 09:56:45.000,NULL
18748543,106785391,5,alipay_package_gift,0,2016-03-25 09:56:45.000,NULL
18748544,106785391,5,alipay_package_gift,0,2016-03-25 09:56:45.000,NULL
18748545,106785391,5,alipay_package_gift,0,2016-03-25 09:56:45.000,NULL
18748546,106785391,5,alipay_package_gift,0,2016-03-25 09:56:45.000,NULL
18748547,106785391,5,alipay_package_gift,0,2016-03-25 09:56:45.000,NULL
18748548,106785391,5,alipay_package_gift,0,2016-03-25 09:56:45.000,NULL
18748549,106785391,10,alipay_package_gift,0,2016-03-25 09:56:45.000,NULL
18748550,106785391,10,alipay_package_gift,0,2016-03-25 09:56:45.000,NULL
18748551,106785391,10,alipay_package_gift,0,2016-03-25 09:56:45.000,NULL
18748552,106785391,10,alipay_package_gift,0,2016-03-25 09:56:45.000,NULL
18748553,106785391,10,alipay_package_gift,0,2016-03-25 09:56:45.000,NULL
103079609,106785391,10,borrow_story34651,0,2017-07-21 21:17:07.000,NULL
103793714,106785391,5,cfdaka_0629,0,2017-08-10 12:26:15.000,NULL
84646497,106785391,1,super_double12_gift,1,2016-12-11 20:58:56.000,2016-12-24 04:02:31.060
89986140,106785391,1,super_newyear_gift,0,2017-01-09 00:26:45.000,NULL
90096508,106785391,1,super_newyear_gift,0,2017-01-10 01:21:22.000,NULL
81722021,106785391,0,super_rain_26819,0,2016-12-06 11:38:12.000,NULL
13175051,106785391,1,superred,0,2015-11-08 20:12:46.000,NULL
90520694,109739551,50,alipay_super_package_gift,0,2017-01-15 04:40:19.000,NULL
90520695,109739551,30,alipay_super_package_gift,0,2017-01-15 04:40:19.000,NULL
90520696,109739551,20,alipay_super_package_gift,0,2017-01-15 04:40:19.000,NULL
103757372,109739551,10,borrow_story34651,0,2017-08-09 02:57:00.000,NULL
103684723,110721550,10,borrow_story34651,0,2017-08-05 23:01:32.000,NULL
12840626,110721550,10,superred,0,2015-10-30 18:24:43.000,NULL
103314317,111267647,10,borrow_story34651,0,2017-07-27 17:53:07.000,NULL
90362630,111719446,50,alipay_super_package_gift,0,2017-01-14 13:16:04.000,NULL
90362631,111719446,20,alipay_super_package_gift,0,2017-01-14 13:16:04.000,NULL
90362632,111719446,15,alipay_super_package_gift,0,2017-01-14 13:16:04.000,NULL
90362633,111719446,10,alipay_super_package_gift,0,2017-01-14 13:16:04.000,NULL
90362634,111719446,5,alipay_super_package_gift,0,2017-01-14 13:16:04.000,NULL
103593748,111719446,10,borrow_story34651,0,2017-08-02 23:56:10.000,NULL
14627875,111719446,0,spring_festival_gift,1,2016-02-17 09:22:08.000,2016-02-28 00:04:33.910
80623995,111719446,20,superred,0,2016-11-19 21:33:57.000,NULL
103641702,120034485,10,borrow_story34651,0,2017-08-04 13:32:30.000,NULL
103821933,128163427,10,borrow_story34651,0,2017-08-11 11:22:39.000,NULL
15960454,143063576,10,alipay_super_package_gift,0,2016-03-05 00:02:18.000,NULL
15960455,143063576,20,alipay_super_package_gift,0,2016-03-05 00:02:18.000,NULL
15960456,143063576,20,alipay_super_package_gift,0,2016-03-05 00:02:18.000,NULL
15960457,143063576,50,alipay_super_package_gift,0,2016-03-05 00:02:18.000,NULL
86471720,143063576,50,alipay_super_package_gift,0,2016-12-26 00:32:47.000,NULL
86471721,143063576,20,alipay_super_package_gift,0,2016-12-26 00:32:47.000,NULL
86471722,143063576,15,alipay_super_package_gift,0,2016-12-26 00:32:47.000,NULL
86471723,143063576,10,alipay_super_package_gift,0,2016-12-26 00:32:47.000,NULL
86471724,143063576,5,alipay_super_package_gift,0,2016-12-26 00:32:47.000,NULL
103445603,143063576,10,borrow_story34651,0,2017-07-30 19:30:46.000,NULL
74768114,143063576,5,superred,0,2016-08-25 16:18:59.553,NULL
103921178,145872100,10,borrow_story34651,0,2017-08-14 18:30:56.000,NULL
16765495,145872100,1,flottery_gift,1,2016-03-19 09:20:11.000,2016-06-17 20:00:33.200
81780988,145872100,0,super_rain_26819,0,2016-12-06 17:19:29.000,NULL
82219266,150366416,188,20161212_licai_hongbao_1677,0,2016-12-08 10:40:19.000,NULL
82219265,150366416,188,20161212_licai_hongbao_1858,0,2016-12-08 10:40:19.000,NULL
82219267,150366416,188,20161212_licai_hongbao_1942,0,2016-12-08 10:40:19.000,NULL
19813246,150366416,10,alipay_package_gift,0,2016-03-25 12:12:38.000,NULL
19813247,150366416,20,alipay_package_gift,0,2016-03-25 12:12:38.000,NULL
19813248,150366416,20,alipay_package_gift,0,2016-03-25 12:12:38.000,NULL
19813250,150366416,50,alipay_package_gift,0,2016-03-25 12:12:38.000,NULL
100177417,150366416,50,alipay_super_package_gift,0,2017-05-30 08:56:58.000,NULL
100177418,150366416,20,alipay_super_package_gift,0,2017-05-30 08:56:58.000,NULL
100177419,150366416,15,alipay_super_package_gift,0,2017-05-30 08:56:58.000,NULL
100177420,150366416,10,alipay_super_package_gift,0,2017-05-30 08:56:58.000,NULL
100177421,150366416,5,alipay_super_package_gift,0,2017-05-30 08:56:58.000,NULL
103594248,150366416,10,borrow_story34651,0,2017-08-03 00:15:23.000,NULL
77912454,150366416,2,mario_gift,1,2016-10-21 00:03:01.000,2016-11-06 21:51:47.370
81757031,150366416,0,super_rain_26819,0,2016-12-06 14:42:57.000,NULL
25873594,153069043,5,alipay_package_gift,0,2016-04-02 16:48:13.000,NULL
25873595,153069043,10,alipay_package_gift,0,2016-04-02 16:48:13.000,NULL
25873596,153069043,10,alipay_package_gift,0,2016-04-02 16:48:13.000,NULL
25873597,153069043,20,alipay_package_gift,0,2016-04-02 16:48:13.000,NULL
25873598,153069043,20,alipay_package_gift,0,2016-04-02 16:48:13.000,NULL
25873599,153069043,35,alipay_package_gift,0,2016-04-02 16:48:13.000,NULL
32742108,153069043,5,alipay_package_gift,0,2016-05-08 04:31:19.000,NULL
32742109,153069043,5,alipay_package_gift,0,2016-05-08 04:31:19.000,NULL
32742110,153069043,10,alipay_package_gift,0,2016-05-08 04:31:19.000,NULL
32742111,153069043,10,alipay_package_gift,0,2016-05-08 04:31:19.000,NULL
32742112,153069043,20,alipay_package_gift,0,2016-05-08 04:31:19.000,NULL
32742113,153069043,20,alipay_package_gift,0,2016-05-08 04:31:19.000,NULL
32742114,153069043,30,alipay_package_gift,0,2016-05-08 04:31:19.000,NULL
55709740,153069043,50,alipay_super_package_gift,0,2016-07-03 18:52:10.000,NULL
55709741,153069043,20,alipay_super_package_gift,0,2016-07-03 18:52:10.000,NULL
55709742,153069043,30,alipay_super_package_gift,0,2016-07-03 18:52:10.000,NULL
103079596,153069043,50,alipay_super_package_gift,0,2017-07-21 21:17:04.000,NULL
103079597,153069043,20,alipay_super_package_gift,0,2017-07-21 21:17:04.000,NULL
103079598,153069043,15,alipay_super_package_gift,0,2017-07-21 21:17:04.000,NULL
103079599,153069043,10,alipay_super_package_gift,0,2017-07-21 21:17:04.000,NULL
